Andaman and Nicobar Islands,1294
Andhra Pradesh,83230
Arunachal Pradesh,2624
Assam,24178
Bihar,30857
Chandigarh,5631
Chhattisgarh,17430
Delhi,39455
Goa,4584
Gujarat,64862
Haryana,36141
Himachal Pradesh,16040
Jammu and Kashmir,7995
Jharkhand,26496
Karnataka,262109
Kerala,99227
Madhya Pradesh,64939
Maharashtra,231739
Manipur,1790
Meghalaya,5244
Mizoram,2496
Nagaland,2561
Odisha,25650
Puducherry,5172
Punjab,60997
Rajasthan,93176
Sikkim,1952
Tamil Nadu,155375
Telangana,99919
Tripura,4667
Uttar Pradesh,281402
Uttarakhand,23843
West Bengal,113535
