Nicobars,17.7
North And Middle Andaman,43.07
South Andamans,57.19
Anantapur,42.37
Chittoor,55.85
East Godavari,56.3
Guntur,35.17
Krishna,53.69
Kurnool,49.03
Prakasam,47.03
Spsr Nellore,72.04
Srikakulam,19.31
Visakhapatanam,37.04
Vizianagaram,45.83
West Godavari,68.4
Y.S.R.,90.97
Anjaw,20.14
Changlang,6.52
Dibang Valley,15.36
East Kameng,1.25
East Siang,11.19
Kamle,12.56
Kra Daadi,6.85
Kurung Kumey,4.75
Leparada,20.72
Lohit,13.36
Longding,3.38
Lower Dibang Valley,2.62
Lower Siang,27.22
Lower Subansiri,8.18
Namsai,3.29
Pakke Kessang,0.78
Papum Pare,12.33
Shi Yomi,20.94
Siang,3.4
Tawang,4.35
Tirap,2.28
Upper Siang,44.96
Upper Subansiri,1.89
West Kameng,21.11
West Siang,40.32
Baksa,1.13
Barpeta,0.25
Biswanath,1.73
Bongaigaon,0.16
Cachar,8.3
Charaideo,1.51
Chirang,1.41
Darrang,1.02
Dhemaji,0.23
Dhubri,0.13
Dibrugarh,0.68
Dima Hasao,1.28
Goalpara,0.47
Golaghat,3.23
Hailakandi,1.24
Hojai,0.21
Jorhat,11.4
Kamrup Metro,7.43
Kamrup,1.65
Karbi Anglong,0.28
Karimganj,1.67
Kokrajhar,0.45
Lakhimpur,0.5
Majuli,1.11
Marigaon,0.16
Nagaon,0.53
Nalbari,2.97
Sivasagar,2.75
Sonitpur,2.44
South Salmara Mancachar,0.1
Tinsukia,0.33
Udalguri,0.39
West Karbi Anglong,0.26
Araria,5.98
Arwal,2.75
Aurangabad,0.23
Banka,1.9
Begusarai,0.33
Bhagalpur,1.65
Bhojpur,1.1
Buxar,0.76
Darbhanga,1.67
Gaya,1.77
Gopalganj,1.63
Jamui,1.93
Jehanabad,4.23
Kaimur (Bhabua),2.35
Katihar,8.05
Khagaria,0.72
Kishanganj,3.08
Lakhisarai,2.28
Madhepura,1
Madhubani,0.67
Munger,3.86
Muzaffarpur,0.34
Nalanda,9.73
Nawada,2.1
Pashchim Champaran,1.14
Patna,0.7
Purbi Champaran,0.34
Purnia,2.47
Rohtas,0.74
Saharsa,0.41
Samastipur,0.24
Saran,2.56
Sheikhpura,0.02
Sheohar,4.22
Sitamarhi,2.07
Siwan,0.75
Supaul,0.41
Vaishali,0.12
Chandigarh,0
Balod,6.11
Baloda Bazar,6.36
Balrampur,0.51
Bastar,7.36
Bemetara,10.96
Bijapur,2.18
Bilaspur,10.76
Dantewada,0.89
Dhamtari,10.54
Durg,10.64
Gariyaband,11.62
Gaurella Pendra Marwahi,5.82
Janjgir-Champa,9.05
Jashpur,2.77
Kabirdham,NaN
Kanker,5.53
Kondagaon,2.37
Korba,3.94
Korea,2.61
Mahasamund,2.93
Mungeli,1.12
Narayanpur,11.7
Raigarh,5.76
Raipur,12.92
Rajnandgaon,17.05
Sukma,4.42
Surajpur,1.75
Surguja,1.29
New Delhi,NaN
North Goa,72.7
South Goa,80.78
Ahmadabad,88.3
Amreli,54.29
Anand,75.44
Arvalli,72.75
Banas Kantha,78.81
Bharuch,73.72
Bhavnagar,84.65
Botad,89.42
Chhotaudepur,29.58
Dang,77.39
Devbhumi Dwarka,77.24
Dohad,32.43
Gandhinagar,98.98
Gir Somnath,49.76
Jamnagar,90.19
Junagadh,93.37
Kachchh,92.69
Kheda,63.2
Mahesana,64.94
Mahisagar,55.35
Morbi,92.25
Narmada,68.73
Navsari,69.22
Panch Mahals,44.68
Patan,92.18
Porbandar,89.31
Rajkot,91.63
Sabar Kantha,80.21
Surat,72.62
Surendranagar,83.53
Tapi,41.92
Vadodara,65.44
Valsad,31.75
Ambala,82.53
Bhiwani,54.49
Charki Dadri,60.93
Faridabad,31.55
Fatehabad,56.48
Gurugram,52.3
Hisar,49
Jhajjar,77.1
Jind,53.51
Kaithal,51.1
Karnal,58.64
Kurukshetra,59.44
Mahendragarh,70.42
Nuh,14.55
Palwal,33.37
Panchkula,85.51
Panipat,55.31
Rewari,63.4
Rohtak,77.13
Sirsa,57.8
Sonipat,57.74
Yamunanagar,70.98
Bilaspur,47.48
Chamba,20.87
Hamirpur,43.25
Kangra,45.01
Kinnaur,67.67
Kullu,31
Lahul And Spiti,53.84
Mandi,49.77
Shimla,29.89
Sirmaur,42.12
Solan,61.97
Una,62.13
Anantnag,47.07
Bandipora,40.26
Baramulla,43.97
Budgam,23.86
Doda,22.29
Ganderbal,29.98
Jammu,26.54
Kathua,34.24
Kishtwar,7.49
Kulgam,31.81
Kupwara,37.32
Poonch,42.73
Pulwama,55.52
Rajouri,10.77
Ramban,33.65
Reasi,33.66
Samba,32.13
Shopian,33.64
Srinagar,39.17
Udhampur,19.26
Bokaro,6.54
Chatra,3.38
Deoghar,1.6
Dhanbad,4.26
Dumka,4.65
East Singhbum,6.34
Garhwa,1.38
Giridih,9.87
Godda,6.6
Gumla,2.24
Hazaribagh,2.39
Jamtara,1.4
Khunti,5.83
Koderma,5.3
Latehar,1.61
Lohardaga,12.03
Pakur,0.47
Palamu,2.63
Ramgarh,7.18
Ranchi,24.17
Sahebganj,4.73
Saraikela Kharsawan,3.88
Simdega,6.18
West Singhbhum,3.33
Bagalkote,27.54
Ballari,21.08
Belagavi,22.24
Bengaluru Rural,16.59
Bengaluru Urban,20.11
Bidar,15.78
Chamarajanagara,26.37
Chikkaballapura,19.51
Chikkamagaluru,29.19
Chitradurga,36.49
Dakshina Kannada,35.05
Davangere,37.81
Dharwad,42.81
Gadag,15.77
Hassan,10.19
Haveri,23.27
Kalaburagi,16.28
Kodagu,29.3
Kolar,25.63
Koppal,35.27
Mandya,54.21
Mysuru,23.81
Raichur,23.94
Ramanagara,32.14
Shivamogga,31.32
Tumakuru,29.01
Udupi,26.07
Uttara Kannada,5.35
Vijayapura,16.41
Yadgir,12.28
Alappuzha,33.73
Ernakulam,40.85
Idukki,19.12
Kannur,15.85
Kasaragod,15.55
Kollam,22.31
Kottayam,21.03
Kozhikode,16.02
Malappuram,17.67
Palakkad,20.99
Pathanamthitta,23.23
Thiruvananthapuram,23.22
Thrissur,28.54
Wayanad,21.91
Kargil,0.87
Leh Ladakh,5.33
Agar Malwa,13.11
Alirajpur,3.17
Anuppur,7.95
Ashoknagar,2.54
Balaghat,10.24
Barwani,13.6
Betul,22
Bhind,4.45
Bhopal,11.69
Burhanpur,36.55
Chhatarpur,5.51
Chhindwara,22.71
Damoh,6.16
Datia,7.98
Dewas,8.81
Dhar,12.47
Dindori,4.74
East Nimar,NA
Guna,6.97
Gwalior,14.29
Harda,11.8
Hoshangabad,6.25
Indore,16.04
Jabalpur,13.43
Jhabua,8.28
Katni,10.03
Khargone,12.64
Mandla,11.15
Mandsaur,27.9
Morena,3.86
Narsinghpur,31.18
Neemuch,29.7
Niwari,0
Panna,4.12
Raisen,9.73
Rajgarh,9.81
Ratlam,25.77
Rewa,7.08
Sagar,7.16
Satna,2.6
Sehore,7.91
Seoni,15.49
Shahdol,6.08
Shajapur,13.96
Sheopur,6.81
Shivpuri,5.18
Sidhi,8.13
Singrauli,1.02
Tikamgarh,3.47
Ujjain,14.88
Umaria,6.15
Vidisha,8.94
Ahmednagar,12.46
Akola,25.13
Amravati,46.69
Aurangabad,44.19
Beed,17.36
Bhandara,32.39
Buldhana,42.45
Chandrapur,24.03
Dhule,63.53
Gadchiroli,8.97
Gondia,21.55
Hingoli,17.63
Jalgaon,58.42
Jalna,56.18
Kolhapur,46.71
Latur,43.58
Nagpur,37.29
Nanded,18.37
Nandurbar,15.82
Nashik,23.45
Osmanabad,40.74
Palghar,9.89
Parbhani,26.9
Pune,34.4
Raigad,49.14
Ratnagiri,34.09
Sangli,30.65
Satara,46.84
Sindhudurg,36.38
Solapur,36.76
Thane,25.65
Wardha,42.81
Washim,22.91
Yavatmal,12.75
Bishnupur,5.21
Chandel,2.08
Churachandpur,4.91
Imphal East,2.87
Imphal West,3.32
Jiribam,1.09
Kakching,5.94
Kamjong,19.81
Kangpokpi,6.8
Noney,12.29
Pherzawl,3.95
Senapati,7.18
Tamenglong,2.84
Tengnoupal,1.99
Thoubal,8.56
Ukhrul,10.3
East Garo Hills,0.05
East Jaintia Hills,0.03
East Khasi Hills,2.54
