Andhra Pradesh,7.4844,14.15,6,2.399459,12.2722,3.9
Bihar,0.518,NA,2,NA,1.66429,0
Chattisgarh,0.225,2.6,2,NA,0.6,0.825
Delhi,59.555,NA,NA,NA,66.5248,NA
Goa,0.7229,0.55166,1.03,1.486207,0.933,1.2444
Gujarat,1.3325,NA,1.01,0.2,1.28158,2.4707
Himachal Pradesh,0.9903,2.44,3,3.729167,2.27059,2.323529412
Jammu and Kashmir,0.05,0.775,1.25,NA,0.2,0.5
Jharkhand,0,NA,NA,NA,NA,NA
Karnataka,1.22,NA,NA,2.399459,1.05,NA
Kerala,0.8985,3.9566,1.9,1.437183,4.30588,3.1059
Madhya Pradesh,2.4029,3,2,3.729167,7,3.161
Maharashtra,2.87939393,6.145804,2.5281,2.733333,2.52432,2.4314
Manipur,40.5,2.96,NA,NA,NA,NA
Meghalaya,3.841,7.7,7,7.263043,12.2429,6.92857
Mizoram,0.2058,NA,0,7.263043,0.19333,0.1545
Nagaland,9.35,NA,,NA,3.81,NA
Odisha,16.835,6.448,3,2.399459,4.03542,4.9933
Punjab,12.916,NA,1,3.729167,11.4591,18.5318
Rajasthan,2.2647,2.3126,2,3.729167,3.1481,4.59857
Tamil Nadu,1.494,0.343,NA,2.399459,13.9,2.25
Tripura,0.2406,0.16,0,7.263043,0.31739,NA
Uttar Pradesh,8.0211,5.814839,5,NA,1.02,NA
West Bengal,0.7520313,1.577551,0.86,NA,0.53265,NA
Assam,1.2627,0.53,2,NA,1.67143,1.816129032
Haryana,NA,NA,NA,3.729167,NA,NA
