term,estimate,std_error,p_value,model,label
(Intercept),-22.1902358371496,57.7675744329365,0.704410811902616,"M1 original spec, corrected indices",(Intercept)
v12,0.00225202021504208,0.0252898020617342,0.92981419622806,"M1 original spec, corrected indices",v12 discharged <48h (%)
v15,0.0707977402405366,0.0612319922480803,0.259459797759962,"M1 original spec, corrected indices",v15 institutional deliveries (%)
v16,-0.0615576370306502,0.0813068238766401,0.45667476418589,"M1 original spec, corrected indices",v16 safe deliveries (%)
v25,-0.760907122310465,0.464407078486094,0.11493743175711,"M1 original spec, corrected indices",v25 live births (%)
v28,0.0465094049713131,0.0376590180281939,0.229293552843516,"M1 original spec, corrected indices",v28 newborns <2.5 kg (%)
female_pct,0.215822297587499,0.420018044537093,0.612265048345405,"M1 original spec, corrected indices",Female share of births (%)
log_gdp,7.29987979080076,1.81549680016353,0.000534121751713689,"M1 original spec, corrected indices",log state GDP
log_beds,-2.77084366485216,1.78888424269491,0.135051597980863,"M1 original spec, corrected indices",log state beds
log_tap,0.441067427772489,0.293249459864135,0.14617252792822,"M1 original spec, corrected indices",log tap-water HH (%)
child_marriage,-0.0140409937942403,0.0650936972377589,0.831119671080216,"M1 original spec, corrected indices",Child-marriage cases (state count)
nitrate,0.132214593465664,0.11974017389837,0.280933835934018,"M1 original spec, corrected indices",Nitrate (state)
yi_kharif_cash_0,-0.175379557290553,0.0390225014637132,0.000164180569378075,"M1 original spec, corrected indices",Kharif cash-crop yield index
grows_kharif_cash,1.33306846206722,1.04882677692204,0.216430393346297,"M1 original spec, corrected indices",Grows kharif cash crops (1/0)
yi_kharif_cereal_0,-0.465552500215455,0.447759007549066,0.309268504200484,"M1 original spec, corrected indices",Kharif cereal yield index
grows_kharif_cereal,1.46729772436876,1.4210975327978,0.31256868182387,"M1 original spec, corrected indices",Grows kharif cereals (1/0)
yi_rabi_cash_0,0.0558703451520761,0.0279230027737791,0.0573441788072547,"M1 original spec, corrected indices",Rabi cash-crop yield index
grows_rabi_cash,-0.467210294558991,0.947018838263115,0.626444228100101,"M1 original spec, corrected indices",Grows rabi cash crops (1/0)
yi_rabi_cereal_0,-1.69097153891635,0.429028092111318,0.000650594740892425,"M1 original spec, corrected indices",Rabi cereal yield index
grows_rabi_cereal,9.59167422950075,1.75862916588411,1.52320847282607e-05,"M1 original spec, corrected indices",Grows rabi cereals (1/0)
(Intercept),19.5588310451929,56.4638205808209,0.731463109319353,M1b no nitrate,(Intercept)
v12,-0.0233673741241778,0.0220842155739207,0.29845438228696,M1b no nitrate,v12 discharged <48h (%)
v15,0.0882034498135953,0.0611874091274447,0.159793206257595,M1b no nitrate,v15 institutional deliveries (%)
v16,-0.0644006044985839,0.0571242960781182,0.268519754668257,M1b no nitrate,v16 safe deliveries (%)
v25,-1.05450954833906,0.473089557620202,0.0334538018237123,M1b no nitrate,v25 live births (%)
v28,0.0786710602248409,0.0391704785298575,0.0536741504346249,M1b no nitrate,v28 newborns <2.5 kg (%)
female_pct,0.404769181910238,0.303715130756054,0.192655892846141,M1b no nitrate,Female share of births (%)
log_gdp,6.76247725125797,1.83472969555494,0.000898302589639694,M1b no nitrate,log state GDP
log_beds,-3.97597038486331,1.76559956941475,0.0318048543911426,M1b no nitrate,log state beds
log_tap,0.92152224553302,0.322278938591588,0.00765131438268723,M1b no nitrate,log tap-water HH (%)
child_marriage,-0.0242027598978655,0.0574729934436997,0.676672689428974,M1b no nitrate,Child-marriage cases (state count)
yi_kharif_cash_0,-0.0790886583150549,0.0493471532427197,0.119479387625568,M1b no nitrate,Kharif cash-crop yield index
grows_kharif_cash,2.04404818610532,0.90572433958733,0.031461964373243,M1b no nitrate,Grows kharif cash crops (1/0)
yi_kharif_cereal_0,-0.282034396182101,0.425777623184885,0.512773015450058,M1b no nitrate,Kharif cereal yield index
grows_kharif_cereal,1.13685536811163,1.45781047854769,0.441595875841283,M1b no nitrate,Grows kharif cereals (1/0)
yi_rabi_cash_0,0.0405450373591388,0.0301754989392413,0.189139881511918,M1b no nitrate,Rabi cash-crop yield index
grows_rabi_cash,1.60688089968082,1.4079058850685,0.262762790742275,M1b no nitrate,Grows rabi cash crops (1/0)
yi_rabi_cereal_0,-1.8726931169281,0.470135935218728,0.000399769946413545,M1b no nitrate,Rabi cereal yield index
grows_rabi_cereal,8.36156611922187,1.35496862911629,8.65247033731279e-07,M1b no nitrate,Grows rabi cereals (1/0)
v12,0.00176249329280185,0.0139579961864896,0.900359719648576,M2 year+zone FE,v12 discharged <48h (%)
v15,0.0686434623484777,0.024265841471268,0.00824956873377242,M2 year+zone FE,v15 institutional deliveries (%)
v25,-0.594737108270361,0.402443759616397,0.149880267224587,M2 year+zone FE,v25 live births (%)
v28,0.0317790799821396,0.044188146711823,0.47759725790567,M2 year+zone FE,v28 newborns <2.5 kg (%)
female_pct,0.00621085026891137,0.282077668090091,0.982579215624178,M2 year+zone FE,Female share of births (%)
log_gdp_pc,6.54131182336928,2.63832087929829,0.0190049015491405,M2 year+zone FE,log state GDP per capita
beds_per_lakh,-0.0133552226610106,0.0125184088521622,0.294551659755949,M2 year+zone FE,State beds per 100k
log_tap,0.246383711439462,0.260191606192313,0.351239053829281,M2 year+zone FE,log tap-water HH (%)
child_marriage_per_mn,1.08840998206831,1.7010988500124,0.527141163924405,M2 year+zone FE,Child-marriage cases per mn
yi_kharif_cash_0,0.04496710505082,0.0343980690170781,0.201056752199425,M2 year+zone FE,Kharif cash-crop yield index
grows_kharif_cash,1.24269969682423,0.743969148063873,0.105249850287331,M2 year+zone FE,Grows kharif cash crops (1/0)
yi_kharif_cereal_0,-0.0529142515803189,0.387103908368784,0.892186975039294,M2 year+zone FE,Kharif cereal yield index
grows_kharif_cereal,1.25587717097209,1.38141746947082,0.370531901638001,M2 year+zone FE,Grows kharif cereals (1/0)
yi_rabi_cash_0,0.0605480456762128,0.0234221895738501,0.0148419392136987,M2 year+zone FE,Rabi cash-crop yield index
