term,estimate,std_error,p_value,outcome,spec
v12,0.0268066919787039,0.0262554313992453,0.314913537468146,LBW deaths (% of infant deaths) (v42),m3
v15,-0.0824744643510248,0.0733923574284984,0.2694800666442,LBW deaths (% of infant deaths) (v42),m3
v25,1.0097522089381,0.64363521049605,0.126525012812316,LBW deaths (% of infant deaths) (v42),m3
v28,0.0131618000868467,0.0872535641539704,0.88104455285705,LBW deaths (% of infant deaths) (v42),m3
female_pct,-0.212147945221535,0.403224643071549,0.602426681742933,LBW deaths (% of infant deaths) (v42),m3
log_gdp_pc,-3.6972549122802,7.2314474350579,0.612668742949099,LBW deaths (% of infant deaths) (v42),m3
child_marriage_per_mn,2.05328546202689,1.11575307694733,0.0750196308487116,LBW deaths (% of infant deaths) (v42),m3
yidev_kharif_all,0.587244630910803,1.00258960379479,0.562167019112819,LBW deaths (% of infant deaths) (v42),m3
yidev_rabi_all,-0.623180379234527,0.642392521171997,0.33927599126187,LBW deaths (% of infant deaths) (v42),m3
rain_jjas_anom,-0.0333177394112739,0.278458899523848,0.905508078598758,LBW deaths (% of infant deaths) (v42),m3
v12,-0.0524226405185279,0.0190315336896105,0.00961374645138748,Sepsis (v40),m3
v15,-0.0305655541406605,0.0481648710571943,0.530198903939654,Sepsis (v40),m3
v25,0.131694033225597,0.493159927691195,0.791150913124377,Sepsis (v40),m3
v28,-0.0322994683354425,0.0292381839972175,0.277526297674414,Sepsis (v40),m3
female_pct,0.244301195920265,0.125623223881256,0.0606426898382227,Sepsis (v40),m3
log_gdp_pc,-2.88058270079923,6.94555460402481,0.681101362113014,Sepsis (v40),m3
child_marriage_per_mn,0.727517546886851,1.04960738636547,0.493226508697526,Sepsis (v40),m3
yidev_kharif_all,0.527118383725719,0.53213824119297,0.329328706140643,Sepsis (v40),m3
yidev_rabi_all,-0.957407228612132,0.734625329014635,0.201785931738508,Sepsis (v40),m3
rain_jjas_anom,0.0464185974363117,0.156529019345418,0.768726763319738,Sepsis (v40),m3
v12,-0.00824880451421293,0.0156685023115693,0.602200519248098,Pneumonia (v43),m3
v15,-0.0142501975585113,0.0440467495150933,0.748403059642667,Pneumonia (v43),m3
v25,-0.321053626634685,0.604769171209903,0.599174559330762,Pneumonia (v43),m3
v28,-0.0581147548581316,0.0281923162013489,0.0474702844506178,Pneumonia (v43),m3
female_pct,0.590477605880786,0.452317166010556,0.20104800268034,Pneumonia (v43),m3
log_gdp_pc,-12.8386876656685,8.4785380188771,0.139776363338673,Pneumonia (v43),m3
child_marriage_per_mn,1.27308191126507,0.560210879670469,0.0299126153758522,Pneumonia (v43),m3
yidev_kharif_all,0.403763631278012,0.558520487693111,0.474982212987798,Pneumonia (v43),m3
yidev_rabi_all,0.138579230280434,0.553909546721135,0.804044429537358,Pneumonia (v43),m3
rain_jjas_anom,-0.607841835070975,0.333109557494058,0.0773872253944832,Pneumonia (v43),m3
v12,-0.00663528149941175,0.0105077348410141,0.532220880726728,Diarrhoea (v44),m3
v15,0.0598631919531889,0.027193649527622,0.0350394555666157,Diarrhoea (v44),m3
v25,0.275115861996164,0.22778898137493,0.235988058913382,Diarrhoea (v44),m3
v28,0.00880608219320544,0.0113084179237558,0.441865832381916,Diarrhoea (v44),m3
female_pct,0.442974500501229,0.288856774094276,0.1349704053454,Diarrhoea (v44),m3
log_gdp_pc,3.18865626980505,5.25859741208232,0.548546891521892,Diarrhoea (v44),m3
child_marriage_per_mn,-0.0139497498524369,0.240907201068703,0.954184322973935,Diarrhoea (v44),m3
yidev_kharif_all,0.346392551926539,0.171988873155174,0.0524766462165647,Diarrhoea (v44),m3
yidev_rabi_all,0.341003247886971,0.136176515027828,0.0175663697234579,Diarrhoea (v44),m3
rain_jjas_anom,-0.0344497400450262,0.134610050595183,0.799648709047778,Diarrhoea (v44),m3
v12,-0.0276537021666095,0.0147226525019764,0.0694764381655922,Fever (v45),m3
v15,0.00732945152161309,0.0285608493036466,0.799110421050135,Fever (v45),m3
v25,-1.07021674697468,0.618486091402846,0.093196927197547,Fever (v45),m3
v28,0.0207667568731203,0.0241086080568702,0.395435721827309,Fever (v45),m3
female_pct,-0.0741472173498629,0.335894504825947,0.826692985491189,Fever (v45),m3
log_gdp_pc,6.82609215668383,5.55945617519479,0.228464484605669,Fever (v45),m3
child_marriage_per_mn,0.343470611554318,0.349203049715189,0.33269867739982,Fever (v45),m3
yidev_kharif_all,0.164268827484958,0.318248175533146,0.609287205588288,Fever (v45),m3
yidev_rabi_all,-0.00913769943770399,0.316583727875745,0.977152757805751,Fever (v45),m3
rain_jjas_anom,0.255291213330427,0.191083995301306,0.190968245189698,Fever (v45),m3
v12,-0.0034579169882019,0.00297697565635271,0.25400790267157,Measles (v46),m3
v15,-0.0157693434996412,0.0156128219498646,0.320059874506001,Measles (v46),m3
v25,0.0295448809403584,0.178164244829352,0.869334447957186,Measles (v46),m3
v28,0.016149642363009,0.00920285900177273,0.0888565261793974,Measles (v46),m3
female_pct,0.17334531800875,0.115327955357914,0.142628205601143,Measles (v46),m3
log_gdp_pc,-1.1231430738926,2.14216896455933,0.603681802816701,Measles (v46),m3
child_marriage_per_mn,-0.173681534570701,0.12027654674365,0.158454042383477,Measles (v46),m3
yidev_kharif_all,0.0496093650438152,0.060975295832381,0.421888260087098,Measles (v46),m3
yidev_rabi_all,-0.0663579800799561,0.0975207274187911,0.501113554853612,Measles (v46),m3
rain_jjas_anom,-0.0763768594759089,0.0634490117750372,0.237514921348275,Measles (v46),m3
