rowid,country,statelgdcode,state,districtlgdcode,district,year,season,areahectares,productiontonnes,yieldtonneshectare,sdyid,sdcsyid,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v47,v48,_merge,cropcategory,rbicat,sd_cc_syid,yield_area,yield_area_cc_total,area_cc_total,index,gdp,beds,tap,child_marriage,nitrate
146186,India,35,Andaman And Nicobar Islands,603,Nicobars,2011,Kharif,4.5,10.5,2.33333,Andaman And Nicobar IslandsNicobars2011,Andaman And Nicobar IslandsNicobarsSugarcaneKharif2011,917,296,625,617,1001,2327,151,66,56,10,494,89.1,494,560,88.2,98.2,11.8,463,429,82.7,76.6,510,91.1,8,98.5,479,58,12.1,549,107.6,992,0,100,749,0,1.9,43.1,55,33,10,13.3,13.3,30,3.3,3.3,0,26.7,No,matched (3),Cash,Commercial,Andaman And Nicobar IslandsNicobarsCashKharif2011,10.5,10.5,4.5,2.333333,397843,1294,17.7,1,NA
146199,India,35,Andaman And Nicobar Islands,603,Nicobars,2012,Kharif,6.6,3.7,0.560606,Andaman And Nicobar IslandsNicobars2012,Andaman And Nicobar IslandsNicobarsSugarcaneKharif2012,854,264,581,565,958,2930,53,59,48,11,502,89.6,502,561,89.5,98,10.5,450,319,80.2,56.9,555,98.9,12,97.9,548,63,11.5,530,95.5,982,0,100,702,0,0.7,56.4,42.9,27,4.2,16.7,8.3,12.5,0,8.3,0,50,No,matched (3),Cash,Commercial,Andaman And Nicobar IslandsNicobarsCashKharif2012,3.7,3.7,6.6,0.5606061,415648,1294,17.7,0,NA
146213,India,35,Andaman And Nicobar Islands,603,Nicobars,2013,Kharif,11,373.4,33.9455,Andaman And Nicobar IslandsNicobars2013,Andaman And Nicobar IslandsNicobarsSugarcaneKharif2013,743,386,562,576,664,1536,32,42,36,6,425,95.5,425,467,91,98.7,9,458,501,98.1,107.3,502,107.5,25,95.3,484,93,19.2,471,93.8,946,0,100,815,0,2.5,59.4,38,12,0,16.7,0,25,8.3,8.3,0,41.7,No,matched (3),Cash,Commercial,Andaman And Nicobar IslandsNicobarsCashKharif2013,373.4,373.4,11,33.94545,448839,1294,17.7,0,NA
146228,India,35,Andaman And Nicobar Islands,603,Nicobars,2014,Kharif,22.2,254,11.4414,Andaman And Nicobar IslandsNicobars2014,Andaman And Nicobar IslandsNicobarsSugarcaneKharif2014,675,350,535,596,630,1968,2,63,38,25,440,86.6,440,503,87.5,95,12.5,553,605,109.9,120.3,538,107,30,94.7,514,99,19.3,509,94.6,985,0,100,693,0,3.4,75.6,21.1,10,0,0,10,0,0,0,10,80,No,matched (3),Cash,Commercial,Andaman And Nicobar IslandsNicobarsCashKharif2014,254,254,22.2,11.44144,474163,1294,17.7,0,NA
146242,India,35,Andaman And Nicobar Islands,603,Nicobars,2015,Kharif,6,12,2,Andaman And Nicobar IslandsNicobars2015,Andaman And Nicobar IslandsNicobarsSugarcaneKharif2015,670,330,519,487,835,1867,5,35,24,11,429,81.1,429,464,92.5,97.6,7.5,539,538,116.2,115.9,522,112.5,20,96.3,480,151,31.5,497,95.2,948,0,100,700,0,1.1,56.6,42.3,8,0,12.5,0,12.5,0,0,0,75,No,matched (3),Cash,Commercial,Andaman And Nicobar IslandsNicobarsCashKharif2015,12,12,6,2,509208,1294,17.7,1,NA
146254,India,35,Andaman And Nicobar Islands,603,Nicobars,2016,Kharif,18.43,27,1.465,Andaman And Nicobar IslandsNicobars2016,Andaman And Nicobar IslandsNicobarsSugarcaneKharif2016,576,333,510,426,609,1715,8,41,25,16,384,88.5,384,425,90.4,96.2,9.6,429,432,100.9,101.6,456,107.3,18,96.2,425,64,15.1,433,95,839,0,100,689,0,2.3,62.1,35.6,7,0,0,42.9,0,0,0,0,57.1,No,matched (3),Cash,Commercial,Andaman And Nicobar IslandsNicobarsCashKharif2016,27,27,18.43,1.465003,575196,1294,17.7,1,NA
146185,India,35,Andaman And Nicobar Islands,603,Nicobars,2011,Kharif,1.5,2.5,1.66667,Andaman And Nicobar IslandsNicobars2011,Andaman And Nicobar IslandsNicobarsRiceKharif2011,917,296,625,617,1001,2327,151,66,56,10,494,89.1,494,560,88.2,98.2,11.8,463,429,82.7,76.6,510,91.1,8,98.5,479,58,12.1,549,107.6,992,0,100,749,0,1.9,43.1,55,33,10,13.3,13.3,30,3.3,3.3,0,26.7,No,matched (3),Cereal,Foodgrain,Andaman And Nicobar IslandsNicobarsCerealKharif2011,2.5,2.5,1.5,1.666667,397843,1294,17.7,1,NA
146198,India,35,Andaman And Nicobar Islands,603,Nicobars,2012,Kharif,0.35,0.4,1.14286,Andaman And Nicobar IslandsNicobars2012,Andaman And Nicobar IslandsNicobarsRiceKharif2012,854,264,581,565,958,2930,53,59,48,11,502,89.6,502,561,89.5,98,10.5,450,319,80.2,56.9,555,98.9,12,97.9,548,63,11.5,530,95.5,982,0,100,702,0,0.7,56.4,42.9,27,4.2,16.7,8.3,12.5,0,8.3,0,50,No,matched (3),Cereal,Foodgrain,Andaman And Nicobar IslandsNicobarsCerealKharif2012,0.4,0.4,0.35,1.142857,415648,1294,17.7,0,NA
146212,India,35,Andaman And Nicobar Islands,603,Nicobars,2013,Kharif,2.65,6.3,2.37736,Andaman And Nicobar IslandsNicobars2013,Andaman And Nicobar IslandsNicobarsRiceKharif2013,743,386,562,576,664,1536,32,42,36,6,425,95.5,425,467,91,98.7,9,458,501,98.1,107.3,502,107.5,25,95.3,484,93,19.2,471,93.8,946,0,100,815,0,2.5,59.4,38,12,0,16.7,0,25,8.3,8.3,0,41.7,No,matched (3),Cereal,Foodgrain,Andaman And Nicobar IslandsNicobarsCerealKharif2013,6.3,6.3,2.65,2.377358,448839,1294,17.7,0,NA
146227,India,35,Andaman And Nicobar Islands,603,Nicobars,2014,Kharif,4.6,10.8,2.34783,Andaman And Nicobar IslandsNicobars2014,Andaman And Nicobar IslandsNicobarsRiceKharif2014,675,350,535,596,630,1968,2,63,38,25,440,86.6,440,503,87.5,95,12.5,553,605,109.9,120.3,538,107,30,94.7,514,99,19.3,509,94.6,985,0,100,693,0,3.4,75.6,21.1,10,0,0,10,0,0,0,10,80,No,matched (3),Cereal,Foodgrain,Andaman And Nicobar IslandsNicobarsCerealKharif2014,10.8,10.8,4.6,2.347826,474163,1294,17.7,0,NA
146241,India,35,Andaman And Nicobar Islands,603,Nicobars,2015,Kharif,5,11.2,2.24,Andaman And Nicobar IslandsNicobars2015,Andaman And Nicobar IslandsNicobarsRiceKharif2015,670,330,519,487,835,1867,5,35,24,11,429,81.1,429,464,92.5,97.6,7.5,539,538,116.2,115.9,522,112.5,20,96.3,480,151,31.5,497,95.2,948,0,100,700,0,1.1,56.6,42.3,8,0,12.5,0,12.5,0,0,0,75,No,matched (3),Cereal,Foodgrain,Andaman And Nicobar IslandsNicobarsCerealKharif2015,11.2,11.2,5,2.24,509208,1294,17.7,1,NA
146253,India,35,Andaman And Nicobar Islands,603,Nicobars,2016,Kharif,6.67,9.54,1.43028,Andaman And Nicobar IslandsNicobars2016,Andaman And Nicobar IslandsNicobarsRiceKharif2016,576,333,510,426,609,1715,8,41,25,16,384,88.5,384,425,90.4,96.2,9.6,429,432,100.9,101.6,456,107.3,18,96.2,425,64,15.1,433,95,839,0,100,689,0,2.3,62.1,35.6,7,0,0,42.9,0,0,0,0,57.1,No,matched (3),Cereal,Foodgrain,Andaman And Nicobar IslandsNicobarsCerealKharif2016,9.54,9.54,6.67,1.430285,575196,1294,17.7,1,NA
146184,India,35,Andaman And Nicobar Islands,603,Nicobars,2011,Rabi,4,2.7,0.675,Andaman And Nicobar IslandsNicobars2011,Andaman And Nicobar IslandsNicobarsMaizeRabi2011,917,296,625,617,1001,2327,151,66,56,10,494,89.1,494,560,88.2,98.2,11.8,463,429,82.7,76.6,510,91.1,8,98.5,479,58,12.1,549,107.6,992,0,100,749,0,1.9,43.1,55,33,10,13.3,13.3,30,3.3,3.3,0,26.7,No,matched (3),Cereal,Foodgrain,Andaman And Nicobar IslandsNicobarsCerealRabi2011,2.7,2.7,4,0.675,397843,1294,17.7,1,NA
146211,India,35,Andaman And Nicobar Islands,603,Nicobars,2013,Rabi,9.7,5.1,0.525773,Andaman And Nicobar IslandsNicobars2013,Andaman And Nicobar IslandsNicobarsMaizeRabi2013,743,386,562,576,664,1536,32,42,36,6,425,95.5,425,467,91,98.7,9,458,501,98.1,107.3,502,107.5,25,95.3,484,93,19.2,471,93.8,946,0,100,815,0,2.5,59.4,38,12,0,16.7,0,25,8.3,8.3,0,41.7,No,matched (3),Cereal,Foodgrain,Andaman And Nicobar IslandsNicobarsCerealRabi2013,5.1,5.1,9.7,0.5257732,448839,1294,17.7,0,NA
146225,India,35,Andaman And Nicobar Islands,603,Nicobars,2014,Rabi,0.6,5.5,9.16667,Andaman And Nicobar IslandsNicobars2014,Andaman And Nicobar IslandsNicobarsMaizeRabi2014,675,350,535,596,630,1968,2,63,38,25,440,86.6,440,503,87.5,95,12.5,553,605,109.9,120.3,538,107,30,94.7,514,99,19.3,509,94.6,985,0,100,693,0,3.4,75.6,21.1,10,0,0,10,0,0,0,10,80,No,matched (3),Cereal,Foodgrain,Andaman And Nicobar IslandsNicobarsCerealRabi2014,5.5,5.5,0.6,9.166666,474163,1294,17.7,0,NA
146239,India,35,Andaman And Nicobar Islands,603,Nicobars,2015,Rabi,0.5,0.5,1,Andaman And Nicobar IslandsNicobars2015,Andaman And Nicobar IslandsNicobarsMaizeRabi2015,670,330,519,487,835,1867,5,35,24,11,429,81.1,429,464,92.5,97.6,7.5,539,538,116.2,115.9,522,112.5,20,96.3,480,151,31.5,497,95.2,948,0,100,700,0,1.1,56.6,42.3,8,0,12.5,0,12.5,0,0,0,75,No,matched (3),Cereal,Foodgrain,Andaman And Nicobar IslandsNicobarsCerealRabi2015,0.5,0.5,0.5,1,509208,1294,17.7,1,NA
