term,estimate,std_error,p_value,model,label
(Intercept),-22.1902,57.7676,0.704411,"M1 original spec, corrected indices",(Intercept)
v12,0.00225202,0.0252898,0.929814,"M1 original spec, corrected indices",v12 discharged <48h (%)
v15,0.0707977,0.061232,0.25946,"M1 original spec, corrected indices",v15 institutional deliveries (%)
v16,-0.0615576,0.0813068,0.456675,"M1 original spec, corrected indices",v16 safe deliveries (%)
v25,-0.760907,0.464407,0.114937,"M1 original spec, corrected indices",v25 live births (%)
v28,0.0465094,0.037659,0.229294,"M1 original spec, corrected indices",v28 newborns <2.5 kg (%)
female_pct,0.215822,0.420018,0.612265,"M1 original spec, corrected indices",Female share of births (%)
log_gdp,7.29988,1.8155,0.000534122,"M1 original spec, corrected indices",log state GDP
log_beds,-2.77084,1.78888,0.135052,"M1 original spec, corrected indices",log state beds
log_tap,0.441067,0.293249,0.146173,"M1 original spec, corrected indices",log tap-water HH (%)
child_marriage,-0.014041,0.0650937,0.83112,"M1 original spec, corrected indices",Child-marriage cases (state count)
nitrate,0.132215,0.11974,0.280934,"M1 original spec, corrected indices",Nitrate (state)
yi_kharif_cash_0,-0.17538,0.0390225,0.000164181,"M1 original spec, corrected indices",Kharif cash-crop yield index
grows_kharif_cash,1.33307,1.04883,0.21643,"M1 original spec, corrected indices",Grows kharif cash crops (1/0)
yi_kharif_cereal_0,-0.465553,0.447759,0.309269,"M1 original spec, corrected indices",Kharif cereal yield index
grows_kharif_cereal,1.4673,1.4211,0.312569,"M1 original spec, corrected indices",Grows kharif cereals (1/0)
yi_rabi_cash_0,0.0558703,0.027923,0.0573442,"M1 original spec, corrected indices",Rabi cash-crop yield index
grows_rabi_cash,-0.46721,0.947019,0.626444,"M1 original spec, corrected indices",Grows rabi cash crops (1/0)
yi_rabi_cereal_0,-1.69097,0.429028,0.000650595,"M1 original spec, corrected indices",Rabi cereal yield index
grows_rabi_cereal,9.59167,1.75863,1.52321e-05,"M1 original spec, corrected indices",Grows rabi cereals (1/0)
(Intercept),19.5588,56.4638,0.731463,M1b no nitrate,(Intercept)
v12,-0.0233674,0.0220842,0.298454,M1b no nitrate,v12 discharged <48h (%)
v15,0.0882034,0.0611874,0.159793,M1b no nitrate,v15 institutional deliveries (%)
v16,-0.0644006,0.0571243,0.26852,M1b no nitrate,v16 safe deliveries (%)
v25,-1.05451,0.47309,0.0334538,M1b no nitrate,v25 live births (%)
v28,0.0786711,0.0391705,0.0536742,M1b no nitrate,v28 newborns <2.5 kg (%)
female_pct,0.404769,0.303715,0.192656,M1b no nitrate,Female share of births (%)
log_gdp,6.76248,1.83473,0.000898303,M1b no nitrate,log state GDP
log_beds,-3.97597,1.7656,0.0318049,M1b no nitrate,log state beds
log_tap,0.921522,0.322279,0.00765131,M1b no nitrate,log tap-water HH (%)
child_marriage,-0.0242028,0.057473,0.676673,M1b no nitrate,Child-marriage cases (state count)
yi_kharif_cash_0,-0.0790887,0.0493472,0.119479,M1b no nitrate,Kharif cash-crop yield index
grows_kharif_cash,2.04405,0.905724,0.031462,M1b no nitrate,Grows kharif cash crops (1/0)
yi_kharif_cereal_0,-0.282034,0.425778,0.512773,M1b no nitrate,Kharif cereal yield index
grows_kharif_cereal,1.13686,1.45781,0.441596,M1b no nitrate,Grows kharif cereals (1/0)
yi_rabi_cash_0,0.040545,0.0301755,0.18914,M1b no nitrate,Rabi cash-crop yield index
grows_rabi_cash,1.60688,1.40791,0.262763,M1b no nitrate,Grows rabi cash crops (1/0)
yi_rabi_cereal_0,-1.87269,0.470136,0.00039977,M1b no nitrate,Rabi cereal yield index
grows_rabi_cereal,8.36157,1.35497,8.65247e-07,M1b no nitrate,Grows rabi cereals (1/0)
v12,0.00176249,0.013958,0.90036,M2 year+zone FE,v12 discharged <48h (%)
v15,0.0686435,0.0242658,0.00824957,M2 year+zone FE,v15 institutional deliveries (%)
v25,-0.594737,0.402444,0.14988,M2 year+zone FE,v25 live births (%)
v28,0.0317791,0.0441881,0.477597,M2 year+zone FE,v28 newborns <2.5 kg (%)
female_pct,0.00621085,0.282078,0.982579,M2 year+zone FE,Female share of births (%)
log_gdp_pc,6.54131,2.63832,0.0190049,M2 year+zone FE,log state GDP per capita
beds_per_lakh,-0.0133552,0.0125184,0.294552,M2 year+zone FE,State beds per 100k
log_tap,0.246384,0.260192,0.351239,M2 year+zone FE,log tap-water HH (%)
child_marriage_per_mn,1.08841,1.7011,0.527141,M2 year+zone FE,Child-marriage cases per mn
yi_kharif_cash_0,0.0449671,0.0343981,0.201057,M2 year+zone FE,Kharif cash-crop yield index
grows_kharif_cash,1.2427,0.743969,0.10525,M2 year+zone FE,Grows kharif cash crops (1/0)
yi_kharif_cereal_0,-0.0529143,0.387104,0.892187,M2 year+zone FE,Kharif cereal yield index
grows_kharif_cereal,1.25588,1.38142,0.370532,M2 year+zone FE,Grows kharif cereals (1/0)
yi_rabi_cash_0,0.060548,0.0234222,0.0148419,M2 year+zone FE,Rabi cash-crop yield index
grows_rabi_cash,0.931618,0.845859,0.279487,M2 year+zone FE,Grows rabi cash crops (1/0)
yi_rabi_cereal_0,-1.46089,0.294224,2.56988e-05,M2 year+zone FE,Rabi cereal yield index
grows_rabi_cereal,6.93876,1.67625,0.000259928,M2 year+zone FE,Grows rabi cereals (1/0)
v12,0.0192207,0.02396,0.428354,M3 district+year FE,v12 discharged <48h (%)
v15,-0.0628909,0.0635796,0.330002,M3 district+year FE,v15 institutional deliveries (%)
v25,0.841687,0.608797,0.176379,M3 district+year FE,v25 live births (%)
v28,0.0518137,0.0616879,0.407177,M3 district+year FE,v28 newborns <2.5 kg (%)
female_pct,-0.233988,0.377168,0.539399,M3 district+year FE,Female share of births (%)
log_gdp_pc,-1.47289,6.79242,0.829707,M3 district+year FE,log state GDP per capita
child_marriage_per_mn,2.05877,1.14999,0.082879,M3 district+year FE,Child-marriage cases per mn
yidev_kharif_all,0.435232,0.863556,0.617714,M3 district+year FE,Kharif yield shock (log dev.)
yidev_rabi_all,-0.566626,0.490993,0.25703,M3 district+year FE,Rabi yield shock (log dev.)
rain_jjas_anom,0.174546,0.333987,0.604844,M3 district+year FE,Monsoon rainfall anomaly (z)
v12,0.00971352,0.013427,0.475017,M4 M2 + Census/NFHS,v12 discharged <48h (%)
v15,0.0345283,0.0286952,0.238279,M4 M2 + Census/NFHS,v15 institutional deliveries (%)
v25,-0.592668,0.358227,0.108463,M4 M2 + Census/NFHS,v25 live births (%)
v28,-0.00533088,0.0323366,0.870163,M4 M2 + Census/NFHS,v28 newborns <2.5 kg (%)
female_pct,-0.160928,0.319337,0.61798,M4 M2 + Census/NFHS,Female share of births (%)
log_gdp_pc,5.80072,2.05357,0.00833316,M4 M2 + Census/NFHS,log state GDP per capita
beds_per_lakh,-0.00937496,0.00882228,0.296422,M4 M2 + Census/NFHS,State beds per 100k
log_tap,0.0583504,0.277406,0.834822,M4 M2 + Census/NFHS,log tap-water HH (%)
child_marriage_per_mn,0.793641,1.315,0.550695,M4 M2 + Census/NFHS,Child-marriage cases per mn
yi_kharif_cash_0,0.034511,0.0221515,0.129733,M4 M2 + Census/NFHS,Kharif cash-crop yield index
grows_kharif_cash,0.761922,0.629852,0.235847,M4 M2 + Census/NFHS,Grows kharif cash crops (1/0)
yi_kharif_cereal_0,-0.111329,0.338433,0.744477,M4 M2 + Census/NFHS,Kharif cereal yield index
grows_kharif_cereal,0.223175,1.08083,0.837808,M4 M2 + Census/NFHS,Grows kharif cereals (1/0)
yi_rabi_cash_0,0.0565063,0.0203134,0.0092571,M4 M2 + Census/NFHS,Rabi cash-crop yield index
grows_rabi_cash,0.0714668,0.705221,0.919955,M4 M2 + Census/NFHS,Grows rabi cash crops (1/0)
yi_rabi_cereal_0,-1.08638,0.221197,2.9918e-05,M4 M2 + Census/NFHS,Rabi cereal yield index
grows_rabi_cereal,5.28017,2.03687,0.0145906,M4 M2 + Census/NFHS,Grows rabi cereals (1/0)
lit_rate,0.0723829,0.0461803,0.127511,M4 M2 + Census/NFHS,Literacy rate 2011 (%)
urban_share,0.00999557,0.0270212,0.714044,M4 M2 + Census/NFHS,Urban share 2011 (%)
sc_st_share,-0.0436591,0.0214958,0.0511925,M4 M2 + Census/NFHS,SC+ST share 2011 (%)
agri_worker_share,0.0529474,0.0335506,0.125022,M4 M2 + Census/NFHS,Agricultural workers 2011 (%)
nfhs_women_anaemic,0.00232034,0.0252798,0.927478,M4 M2 + Census/NFHS,NFHS-4 women anaemic (%)
nfhs_married_before18,0.0234336,0.0377422,0.539364,M4 M2 + Census/NFHS,NFHS-4 married <18 (%)
nfhs_anc4_visits,0.0932476,0.0164613,3.57144e-06,M4 M2 + Census/NFHS,NFHS-4 4+ ANC visits (%)
nfhs_women_bmi_low,0.252001,0.0618208,0.000309475,M4 M2 + Census/NFHS,NFHS-4 women BMI<18.5 (%)
v12,0.00551804,0.0250376,0.826967,M5 lags,v12 discharged <48h (%)
v15,0.00814193,0.0620055,0.896352,M5 lags,v15 institutional deliveries (%)
v25,1.07722,0.847989,0.213128,M5 lags,v25 live births (%)
v28,0.0248614,0.063347,0.697318,M5 lags,v28 newborns <2.5 kg (%)
female_pct,-0.619836,0.414992,0.145074,M5 lags,Female share of births (%)
log_gdp_pc,-1.69249,9.61972,0.86145,M5 lags,log state GDP per capita
child_marriage_per_mn,2.3142,1.06105,0.0366421,M5 lags,Child-marriage cases per mn
