term,estimate,std_error,p_value,outcome,spec
v12,0.0268067,0.0262554,0.314914,LBW deaths (% of infant deaths) (v42),m3
v15,-0.0824745,0.0733924,0.26948,LBW deaths (% of infant deaths) (v42),m3
v25,1.00975,0.643635,0.126525,LBW deaths (% of infant deaths) (v42),m3
v28,0.0131618,0.0872536,0.881045,LBW deaths (% of infant deaths) (v42),m3
female_pct,-0.212148,0.403225,0.602427,LBW deaths (% of infant deaths) (v42),m3
log_gdp_pc,-3.69726,7.23145,0.612669,LBW deaths (% of infant deaths) (v42),m3
child_marriage_per_mn,2.05329,1.11575,0.0750196,LBW deaths (% of infant deaths) (v42),m3
yidev_kharif_all,0.587245,1.00259,0.562167,LBW deaths (% of infant deaths) (v42),m3
yidev_rabi_all,-0.62318,0.642393,0.339276,LBW deaths (% of infant deaths) (v42),m3
rain_jjas_anom,-0.0333177,0.278459,0.905508,LBW deaths (% of infant deaths) (v42),m3
v12,-0.0524226,0.0190315,0.00961375,Sepsis (v40),m3
v15,-0.0305656,0.0481649,0.530199,Sepsis (v40),m3
v25,0.131694,0.49316,0.791151,Sepsis (v40),m3
v28,-0.0322995,0.0292382,0.277526,Sepsis (v40),m3
female_pct,0.244301,0.125623,0.0606427,Sepsis (v40),m3
log_gdp_pc,-2.88058,6.94555,0.681101,Sepsis (v40),m3
child_marriage_per_mn,0.727518,1.04961,0.493227,Sepsis (v40),m3
yidev_kharif_all,0.527118,0.532138,0.329329,Sepsis (v40),m3
yidev_rabi_all,-0.957407,0.734625,0.201786,Sepsis (v40),m3
rain_jjas_anom,0.0464186,0.156529,0.768727,Sepsis (v40),m3
v12,-0.0082488,0.0156685,0.602201,Pneumonia (v43),m3
v15,-0.0142502,0.0440467,0.748403,Pneumonia (v43),m3
v25,-0.321054,0.604769,0.599175,Pneumonia (v43),m3
v28,-0.0581148,0.0281923,0.0474703,Pneumonia (v43),m3
female_pct,0.590478,0.452317,0.201048,Pneumonia (v43),m3
log_gdp_pc,-12.8387,8.47854,0.139776,Pneumonia (v43),m3
child_marriage_per_mn,1.27308,0.560211,0.0299126,Pneumonia (v43),m3
yidev_kharif_all,0.403764,0.55852,0.474982,Pneumonia (v43),m3
yidev_rabi_all,0.138579,0.55391,0.804044,Pneumonia (v43),m3
rain_jjas_anom,-0.607842,0.33311,0.0773872,Pneumonia (v43),m3
v12,-0.00663528,0.0105077,0.532221,Diarrhoea (v44),m3
v15,0.0598632,0.0271936,0.0350395,Diarrhoea (v44),m3
v25,0.275116,0.227789,0.235988,Diarrhoea (v44),m3
v28,0.00880608,0.0113084,0.441866,Diarrhoea (v44),m3
female_pct,0.442975,0.288857,0.13497,Diarrhoea (v44),m3
log_gdp_pc,3.18866,5.2586,0.548547,Diarrhoea (v44),m3
child_marriage_per_mn,-0.0139498,0.240907,0.954184,Diarrhoea (v44),m3
yidev_kharif_all,0.346393,0.171989,0.0524766,Diarrhoea (v44),m3
yidev_rabi_all,0.341003,0.136177,0.0175664,Diarrhoea (v44),m3
rain_jjas_anom,-0.0344497,0.13461,0.799649,Diarrhoea (v44),m3
v12,-0.0276537,0.0147227,0.0694764,Fever (v45),m3
v15,0.00732945,0.0285608,0.79911,Fever (v45),m3
v25,-1.07022,0.618486,0.0931969,Fever (v45),m3
v28,0.0207668,0.0241086,0.395436,Fever (v45),m3
female_pct,-0.0741472,0.335895,0.826693,Fever (v45),m3
log_gdp_pc,6.82609,5.55946,0.228464,Fever (v45),m3
child_marriage_per_mn,0.343471,0.349203,0.332699,Fever (v45),m3
yidev_kharif_all,0.164269,0.318248,0.609287,Fever (v45),m3
yidev_rabi_all,-0.0091377,0.316584,0.977153,Fever (v45),m3
rain_jjas_anom,0.255291,0.191084,0.190968,Fever (v45),m3
v12,-0.00345792,0.00297698,0.254008,Measles (v46),m3
v15,-0.0157693,0.0156128,0.32006,Measles (v46),m3
v25,0.0295449,0.178164,0.869334,Measles (v46),m3
v28,0.0161496,0.00920286,0.0888565,Measles (v46),m3
female_pct,0.173345,0.115328,0.142628,Measles (v46),m3
log_gdp_pc,-1.12314,2.14217,0.603682,Measles (v46),m3
child_marriage_per_mn,-0.173682,0.120277,0.158454,Measles (v46),m3
yidev_kharif_all,0.0496094,0.0609753,0.421888,Measles (v46),m3
yidev_rabi_all,-0.066358,0.0975207,0.501114,Measles (v46),m3
rain_jjas_anom,-0.0763769,0.063449,0.237515,Measles (v46),m3
